 temperature	i	 j	spin A(i,j)
   2.92000008               2           2           1
   2.92000008               2           3           1
   2.92000008               2           4           1
   2.92000008               2           5           1
   2.92000008               2           6          -1
   2.92000008               2           7          -1
   2.92000008               2           8          -1
   2.92000008               2           9          -1
   2.92000008               2          10           1
   2.92000008               2          11           1
   2.92000008               2          12           1
   2.92000008               2          13           1
   2.92000008               2          14           1
   2.92000008               2          15           1
   2.92000008               2          16           1
   2.92000008               2          17           1
   2.92000008               2          18          -1
   2.92000008               2          19          -1
   2.92000008               2          20          -1
   2.92000008               2          21          -1
   2.92000008               3           2           1
   2.92000008               3           3           1
   2.92000008               3           4           1
   2.92000008               3           5           1
   2.92000008               3           6          -1
   2.92000008               3           7          -1
   2.92000008               3           8          -1
   2.92000008               3           9          -1
   2.92000008               3          10          -1
   2.92000008               3          11          -1
   2.92000008               3          12           1
   2.92000008               3          13           1
   2.92000008               3          14           1
   2.92000008               3          15          -1
   2.92000008               3          16          -1
   2.92000008               3          17          -1
   2.92000008               3          18          -1
   2.92000008               3          19          -1
   2.92000008               3          20          -1
   2.92000008               3          21           1
   2.92000008               4           2           1
   2.92000008               4           3           1
   2.92000008               4           4           1
   2.92000008               4           5          -1
   2.92000008               4           6          -1
   2.92000008               4           7          -1
   2.92000008               4           8          -1
   2.92000008               4           9          -1
   2.92000008               4          10          -1
   2.92000008               4          11          -1
   2.92000008               4          12          -1
   2.92000008               4          13          -1
   2.92000008               4          14          -1
   2.92000008               4          15          -1
   2.92000008               4          16          -1
   2.92000008               4          17          -1
   2.92000008               4          18          -1
   2.92000008               4          19          -1
   2.92000008               4          20          -1
   2.92000008               4          21           1
   2.92000008               5           2          -1
   2.92000008               5           3           1
   2.92000008               5           4           1
   2.92000008               5           5           1
   2.92000008               5           6           1
   2.92000008               5           7           1
   2.92000008               5           8           1
   2.92000008               5           9          -1
   2.92000008               5          10          -1
   2.92000008               5          11          -1
   2.92000008               5          12          -1
   2.92000008               5          13          -1
   2.92000008               5          14          -1
   2.92000008               5          15          -1
   2.92000008               5          16          -1
   2.92000008               5          17          -1
   2.92000008               5          18          -1
   2.92000008               5          19          -1
   2.92000008               5          20          -1
   2.92000008               5          21           1
   2.92000008               6           2           1
   2.92000008               6           3           1
   2.92000008               6           4           1
   2.92000008               6           5           1
   2.92000008               6           6           1
   2.92000008               6           7           1
   2.92000008               6           8           1
   2.92000008               6           9          -1
   2.92000008               6          10          -1
   2.92000008               6          11          -1
   2.92000008               6          12          -1
